Tender ID,Project Name,Project Type,Description,Duration Deadline (days),Location,Max Budget ($),Company ID,Bid Cost ($),Proposed Start Date,Estimated Duration (days),Employees,Experience (years),Company Value ($),Previous Contracts,Reputation Score,Location Advantage,Cost Deviation (%),Deadline Deviation (%),Numeric Rating,Accepted,Reason
5,Project_5,Residential Building,Description of Project_5 in Residential Building.,358,Urban,7990232,Company_307,8233638.4,2025-01-26,317,198,21,109055907.46,14,0.69,0,3.05,-11.45,72.31,1,Cost-effective and timely
5,Project_5,Residential Building,Description of Project_5 in Residential Building.,358,Urban,7990232,Company_795,8247168.2,2025-02-17,336,321,34,395598450.11,45,0.86,1,3.22,-6.15,99.02,1,Cost-effective and timely
5,Project_5,Residential Building,Description of Project_5 in Residential Building.,358,Urban,7990232,Company_199,7258982.77,2025-02-26,386,952,30,324632141.65,31,0.69,0,-9.15,7.82,81.54,1,Cost-effective and timely
5,Project_5,Residential Building,Description of Project_5 in Residential Building.,358,Urban,7990232,Company_513,8029744.85,2025-04-14,366,236,5,392503837.05,50,0.52,0,0.49,2.23,63.88,0,High deviation in cost or deadlines
6,Project_6,Road Construction,Description of Project_6 in Road Construction.,440,Urban,4569221,Company_14,4543931.17,2025-02-13,397,347,39,431302810.68,2,0.9,0,-0.55,-9.77,89.03,1,Cost-effective and timely
6,Project_6,Road Construction,Description of Project_6 in Road Construction.,440,Urban,4569221,Company_612,4106751.5,2025-03-08,467,357,8,270549789.64,2,0.63,0,-10.12,6.14,57.87,0,High deviation in cost or deadlines
6,Project_6,Road Construction,Description of Project_6 in Road Construction.,440,Urban,4569221,Company_477,4308914.18,2025-07-01,475,635,22,18629294.08,3,0.93,0,-5.7,7.95,79.58,1,Cost-effective and timely
6,Project_6,Road Construction,Description of Project_6 in Road Construction.,440,Urban,4569221,Company_172,3986497.21,2025-12-20,499,784,10,216986882.46,17,0.98,0,-12.75,13.41,77.97,1,Cost-effective and timely
6,Project_6,Road Construction,Description of Project_6 in Road Construction.,440,Urban,4569221,Company_256,4115139.55,2025-08-11,488,861,48,475815071.39,47,0.58,0,-9.94,10.91,89.83,1,Cost-effective and timely
7,Project_7,Residential Building,Description of Project_7 in Residential Building.,443,Suburban,8781920,Company_979,7189825.8,2025-12-06,513,595,47,383636416.69,41,0.59,1,-18.13,15.8,86.27,1,Cost-effective and timely
7,Project_7,Residential Building,Description of Project_7 in Residential Building.,443,Suburban,8781920,Company_942,8258813.9,2025-03-03,492,913,38,441544539.81,13,0.81,1,-5.96,11.06,87.11,1,Cost-effective and timely
7,Project_7,Residential Building,Description of Project_7 in Residential Building.,443,Suburban,8781920,Company_86,7196018.48,2025-01-01,510,295,39,63414066.29,29,0.96,0,-18.06,15.12,97.81,1,Cost-effective and timely
7,Project_7,Residential Building,Description of Project_7 in Residential Building.,443,Suburban,8781920,Company_630,8628580.74,2025-06-24,416,418,49,153334743.44,50,0.84,0,-1.75,-6.09,108.84,1,Cost-effective and timely
7,Project_7,Residential Building,Description of Project_7 in Residential Building.,443,Suburban,8781920,Company_61,10133437.92,2025-08-13,540,938,22,270944941.2,46,0.66,1,15.39,21.9,76.48,1,Cost-effective and timely
8,Project_8,Bridge Construction,Description of Project_8 in Bridge Construction.,356,Suburban,4236681,Company_614,3731244.43,2025-09-09,343,851,6,128407047.08,14,0.97,0,-11.93,-3.65,75.08,1,Cost-effective and timely
8,Project_8,Bridge Construction,Description of Project_8 in Bridge Construction.,356,Suburban,4236681,Company_210,3770158.39,2025-10-02,320,244,23,65839537.52,10,0.99,0,-11.01,-10.11,84.15,1,Cost-effective and timely
8,Project_8,Bridge Construction,Description of Project_8 in Bridge Construction.,356,Suburban,4236681,Company_29,5013167.87,2025-08-22,396,927,10,203801086.36,13,0.64,0,18.33,11.24,60.14,0,High deviation in cost or deadlines
8,Project_8,Bridge Construction,Description of Project_8 in Bridge Construction.,356,Suburban,4236681,Company_190,3536522.74,2025-07-23,393,960,37,256072476.8,22,0.71,1,-16.53,10.39,82.5,1,Cost-effective and timely
8,Project_8,Bridge Construction,Description of Project_8 in Bridge Construction.,356,Suburban,4236681,Company_569,5044624.15,2025-10-05,347,907,31,115727284.7,27,0.8,1,19.07,-2.53,85.17,1,Cost-effective and timely
9,Project_9,Road Construction,Description of Project_9 in Road Construction.,438,Suburban,4909813,Company_371,4295769.37,2025-12-14,492,377,15,433618442.14,40,0.67,0,-12.51,12.33,72.78,1,Cost-effective and timely
9,Project_9,Road Construction,Description of Project_9 in Road Construction.,438,Suburban,4909813,Company_825,5465377.03,2025-12-19,488,642,43,455572347.04,33,0.87,0,11.32,11.42,98.68,1,Cost-effective and timely
9,Project_9,Road Construction,Description of Project_9 in Road Construction.,438,Suburban,4909813,Company_902,4174082.5,2025-06-28,427,179,43,456295056.02,25,0.91,0,-14.98,-2.51,98.05,1,Cost-effective and timely
9,Project_9,Road Construction,Description of Project_9 in Road Construction.,438,Suburban,4909813,Company_906,4013961.54,2025-06-07,396,76,46,64965587.76,18,0.8,0,-18.25,-9.59,90.75,1,Cost-effective and timely
9,Project_9,Road Construction,Description of Project_9 in Road Construction.,438,Suburban,4909813,Company_283,4455757.19,2025-08-17,488,335,35,397816816.58,6,0.6,0,-9.25,11.42,73.45,1,Cost-effective and timely
10,Project_10,Bridge Construction,Description of Project_10 in Bridge Construction.,238,Rural,533853,Company_506,549727.4,2025-01-24,294,156,50,343862981.84,41,0.56,0,2.97,23.53,88.64,1,Cost-effective and timely
10,Project_10,Bridge Construction,Description of Project_10 in Bridge Construction.,238,Rural,533853,Company_305,607358.48,2025-09-22,238,243,11,60955663.83,45,0.54,0,13.77,0.0,65.17,0,High deviation in cost or deadlines
10,Project_10,Bridge Construction,Description of Project_10 in Bridge Construction.,238,Rural,533853,Company_390,630483.79,2025-07-03,209,227,6,287777331.27,2,0.58,1,18.1,-12.18,52.43,0,High deviation in cost or deadlines
10,Project_10,Bridge Construction,Description of Project_10 in Bridge Construction.,238,Rural,533853,Company_792,492739.68,2025-10-09,213,809,15,192744230.86,39,0.93,0,-7.7,-10.5,88.12,1,Cost-effective and timely
10,Project_10,Bridge Construction,Description of Project_10 in Bridge Construction.,238,Rural,533853,Company_650,436737.06,2025-11-06,202,294,40,24136999.99,6,0.74,1,-18.19,-15.13,80.23,1,Cost-effective and timely
11,Project_11,Bridge Construction,Description of Project_11 in Bridge Construction.,429,Rural,14984443,Company_805,15084864.23,2025-11-02,439,786,6,431592489.26,29,0.65,1,0.67,2.33,66.77,0,High deviation in cost or deadlines
11,Project_11,Bridge Construction,Description of Project_11 in Bridge Construction.,429,Rural,14984443,Company_617,15878692.05,2025-07-27,396,95,6,325516320.95,2,0.85,0,5.97,-7.69,66.32,0,High deviation in cost or deadlines
11,Project_11,Bridge Construction,Description of Project_11 in Bridge Construction.,429,Rural,14984443,Company_272,12755710.91,2025-03-25,385,128,24,278495372.69,12,0.92,0,-14.87,-10.26,81.62,1,Cost-effective and timely
11,Project_11,Bridge Construction,Description of Project_11 in Bridge Construction.,429,Rural,14984443,Company_793,13226366.83,2025-04-23,447,946,41,195449101.2,13,0.6,1,-11.73,4.2,78.95,1,Cost-effective and timely
11,Project_11,Bridge Construction,Description of Project_11 in Bridge Construction.,429,Rural,14984443,Company_351,12925329.73,2025-12-05,447,447,14,335879650.47,30,0.72,0,-13.74,4.2,72.67,1,Cost-effective and timely
12,Project_12,Industrial Complex,Description of Project_12 in Industrial Complex.,528,Urban,15304995,Company_782,13059544.02,2025-08-11,599,993,50,101363647.74,26,0.54,1,-14.67,13.45,82.94,1,Cost-effective and timely
12,Project_12,Industrial Complex,Description of Project_12 in Industrial Complex.,528,Urban,15304995,Company_67,12287937.95,2025-11-06,501,271,34,158475754.64,35,0.76,0,-19.71,-5.11,86.99,1,Cost-effective and timely
12,Project_12,Industrial Complex,Description of Project_12 in Industrial Complex.,528,Urban,15304995,Company_982,15805903.34,2025-01-11,616,978,12,293623497.51,48,0.73,1,3.27,16.67,78.1,1,Cost-effective and timely
12,Project_12,Industrial Complex,Description of Project_12 in Industrial Complex.,528,Urban,15304995,Company_403,14163475.88,2025-07-09,503,534,50,310889529.12,20,0.66,0,-7.46,-4.73,89.72,1,Cost-effective and timely
12,Project_12,Industrial Complex,Description of Project_12 in Industrial Complex.,528,Urban,15304995,Company_253,14280637.32,2025-03-07,600,649,49,277540123.87,42,0.58,1,-6.69,13.64,89.64,1,Cost-effective and timely
13,Project_13,Bridge Construction,Description of Project_13 in Bridge Construction.,611,Suburban,4987172,Company_224,4790227.32,2025-01-01,697,178,25,253420175.66,18,0.98,0,-3.95,14.08,89.06,1,Cost-effective and timely
13,Project_13,Bridge Construction,Description of Project_13 in Bridge Construction.,611,Suburban,4987172,Company_214,5832317.39,2025-02-27,668,642,26,286137615.21,40,0.52,1,16.95,9.33,70.4,1,Cost-effective and timely
13,Project_13,Bridge Construction,Description of Project_13 in Bridge Construction.,611,Suburban,4987172,Company_736,4015536.17,2025-04-10,679,204,30,270978227.32,31,0.85,1,-19.48,11.13,87.53,1,Cost-effective and timely
13,Project_13,Bridge Construction,Description of Project_13 in Bridge Construction.,611,Suburban,4987172,Company_307,5697612.16,2025-01-18,620,999,45,350616514.06,5,0.95,1,14.25,1.47,93.9,1,Cost-effective and timely
13,Project_13,Bridge Construction,Description of Project_13 in Bridge Construction.,611,Suburban,4987172,Company_555,5440083.72,2025-08-21,678,60,36,136983036.5,27,0.92,0,9.08,10.97,95.42,1,Cost-effective and timely
14,Project_14,Industrial Complex,Description of Project_14 in Industrial Complex.,404,Urban,5714155,Company_13,5005149.47,2025-09-27,377,643,14,381960000.76,6,0.89,0,-12.41,-6.68,72.99,1,Cost-effective and timely
14,Project_14,Industrial Complex,Description of Project_14 in Industrial Complex.,404,Urban,5714155,Company_730,6590127.27,2025-02-21,409,786,24,10419401.15,40,0.78,1,15.33,1.24,84.89,1,Cost-effective and timely
14,Project_14,Industrial Complex,Description of Project_14 in Industrial Complex.,404,Urban,5714155,Company_224,5750664.61,2025-09-19,392,413,31,463686184.3,10,0.64,0,0.64,-2.97,76.34,1,Cost-effective and timely
14,Project_14,Industrial Complex,Description of Project_14 in Industrial Complex.,404,Urban,5714155,Company_839,5226380.62,2025-07-28,409,921,19,100221560.11,36,0.62,0,-8.54,1.24,73.3,1,Cost-effective and timely
14,Project_14,Industrial Complex,Description of Project_14 in Industrial Complex.,404,Urban,5714155,Company_10,4599595.6,2025-06-06,405,113,13,226341610.73,38,0.67,0,-19.51,0.25,70.86,1,Cost-effective and timely
15,Project_15,Bridge Construction,Description of Project_15 in Bridge Construction.,287,Urban,4926910,Company_567,5299428.78,2025-01-12,376,329,49,479240365.86,38,0.75,0,7.56,31.01,96.19,1,Cost-effective and timely
15,Project_15,Bridge Construction,Description of Project_15 in Bridge Construction.,287,Urban,4926910,Company_886,4317272.84,2025-01-22,312,699,16,420018341.27,41,0.93,1,-12.37,8.71,88.71,1,Cost-effective and timely
15,Project_15,Bridge Construction,Description of Project_15 in Bridge Construction.,287,Urban,4926910,Company_73,4787518.57,2025-01-09,260,461,20,134186522.95,46,0.56,1,-2.83,-9.41,73.2,1,Cost-effective and timely
15,Project_15,Bridge Construction,Description of Project_15 in Bridge Construction.,287,Urban,4926910,Company_983,4869566.97,2025-04-03,265,982,40,277173809.65,40,0.88,0,-1.16,-7.67,102.28,1,Cost-effective and timely
15,Project_15,Bridge Construction,Description of Project_15 in Bridge Construction.,287,Urban,4926910,Company_360,5394909.05,2025-06-02,241,824,34,391287518.32,32,1.0,0,9.5,-16.03,99.7,1,Cost-effective and timely
16,Project_16,Road Construction,Description of Project_16 in Road Construction.,489,Urban,9265821,Company_332,9882383.84,2025-03-25,511,705,22,6167285.48,28,0.81,0,6.65,4.5,82.89,1,Cost-effective and timely
16,Project_16,Road Construction,Description of Project_16 in Road Construction.,489,Urban,9265821,Company_291,10240721.59,2025-12-27,563,429,9,430289574.6,48,0.99,1,10.52,15.13,90.39,1,Cost-effective and timely
16,Project_16,Road Construction,Description of Project_16 in Road Construction.,489,Urban,9265821,Company_685,8613093.68,2025-05-26,581,583,5,456704214.93,46,0.55,1,-7.04,18.81,61.83,0,High deviation in cost or deadlines
16,Project_16,Road Construction,Description of Project_16 in Road Construction.,489,Urban,9265821,Company_345,8414135.05,2025-07-07,563,861,32,48710774.81,26,0.66,1,-9.19,15.13,79.11,1,Cost-effective and timely
16,Project_16,Road Construction,Description of Project_16 in Road Construction.,489,Urban,9265821,Company_180,8097675.0,2025-02-25,496,883,10,457877636.85,46,0.61,1,-12.61,1.43,68.96,0,High deviation in cost or deadlines
17,Project_17,Industrial Complex,Description of Project_17 in Industrial Complex.,252,Suburban,16392230,Company_161,18857588.86,2025-01-16,319,651,29,350133131.85,24,0.6,1,15.04,26.59,71.49,1,Cost-effective and timely
17,Project_17,Industrial Complex,Description of Project_17 in Industrial Complex.,252,Suburban,16392230,Company_591,18546581.87,2025-02-08,234,186,15,116666481.58,38,0.74,1,13.14,-7.14,76.51,1,Cost-effective and timely
17,Project_17,Industrial Complex,Description of Project_17 in Industrial Complex.,252,Suburban,16392230,Company_127,16530625.96,2025-02-28,263,223,28,7073827.47,34,0.7,0,0.84,4.37,83.72,1,Cost-effective and timely
17,Project_17,Industrial Complex,Description of Project_17 in Industrial Complex.,252,Suburban,16392230,Company_504,15401224.26,2025-01-26,302,60,26,232576081.04,8,0.78,0,-6.05,19.84,76.1,1,Cost-effective and timely
17,Project_17,Industrial Complex,Description of Project_17 in Industrial Complex.,252,Suburban,16392230,Company_457,14973931.08,2025-06-03,335,278,14,36680187.64,4,0.94,0,-8.65,32.94,72.48,1,Cost-effective and timely
18,Project_18,Road Construction,Description of Project_18 in Road Construction.,182,Suburban,9134817,Company_324,8799843.79,2025-01-15,213,880,19,410898649.08,10,0.65,1,-3.67,17.03,67.56,0,High deviation in cost or deadlines
18,Project_18,Road Construction,Description of Project_18 in Road Construction.,182,Suburban,9134817,Company_197,8552516.51,2025-05-26,151,319,23,423475944.44,26,0.52,0,-6.37,-17.03,67.03,0,High deviation in cost or deadlines
18,Project_18,Road Construction,Description of Project_18 in Road Construction.,182,Suburban,9134817,Company_572,10408238.15,2025-06-07,236,301,10,461271450.39,3,0.93,1,13.94,29.67,68.56,0,High deviation in cost or deadlines
18,Project_18,Road Construction,Description of Project_18 in Road Construction.,182,Suburban,9134817,Company_803,9084747.01,2025-05-08,153,208,17,154415070.42,30,0.99,0,-0.55,-15.93,89.98,1,Cost-effective and timely
18,Project_18,Road Construction,Description of Project_18 in Road Construction.,182,Suburban,9134817,Company_162,10893579.52,2025-03-04,228,703,48,44328140.62,30,0.77,1,19.25,25.27,92.46,1,Cost-effective and timely
19,Project_19,Industrial Complex,Description of Project_19 in Industrial Complex.,514,Suburban,6645579,Company_736,5815665.02,2025-08-02,526,887,46,392801406.07,29,0.95,0,-12.49,2.33,103.89,1,Cost-effective and timely
19,Project_19,Industrial Complex,Description of Project_19 in Industrial Complex.,514,Suburban,6645579,Company_143,7705553.24,2025-05-04,470,515,12,4459419.76,32,0.57,1,15.95,-8.56,63.25,0,High deviation in cost or deadlines
19,Project_19,Industrial Complex,Description of Project_19 in Industrial Complex.,514,Suburban,6645579,Company_778,5755297.72,2025-12-08,498,279,9,392402858.15,28,0.94,0,-13.4,-3.11,80.54,1,Cost-effective and timely
19,Project_19,Industrial Complex,Description of Project_19 in Industrial Complex.,514,Suburban,6645579,Company_64,7748452.83,2025-10-08,498,682,44,252037445.84,20,0.56,0,16.6,-3.11,79.65,1,Cost-effective and timely
19,Project_19,Industrial Complex,Description of Project_19 in Industrial Complex.,514,Suburban,6645579,Company_147,7007458.14,2025-06-04,584,729,11,259656414.84,34,0.66,0,5.45,13.62,69.52,0,High deviation in cost or deadlines
20,Project_20,Residential Building,Description of Project_20 in Residential Building.,523,Urban,1926595,Company_661,2195978.06,2025-11-12,573,86,43,54476237.9,2,0.6,1,13.98,9.56,76.53,1,Cost-effective and timely
20,Project_20,Residential Building,Description of Project_20 in Residential Building.,523,Urban,1926595,Company_711,2079387.27,2025-06-07,548,553,49,262131437.29,31,0.91,0,7.93,4.78,105.02,1,Cost-effective and timely
20,Project_20,Residential Building,Description of Project_20 in Residential Building.,523,Urban,1926595,Company_655,2031782.24,2025-01-28,499,293,43,202207088.94,44,0.92,0,5.46,-4.59,107.24,1,Cost-effective and timely
20,Project_20,Residential Building,Description of Project_20 in Residential Building.,523,Urban,1926595,Company_624,1933758.92,2025-08-03,607,211,26,151141153.05,45,0.96,1,0.37,16.06,99.6,1,Cost-effective and timely
20,Project_20,Residential Building,Description of Project_20 in Residential Building.,523,Urban,1926595,Company_822,2291524.96,2025-09-12,514,468,34,463031842.8,26,0.77,0,18.94,-1.72,85.25,1,Cost-effective and timely
21,Project_21,Industrial Complex,Description of Project_21 in Industrial Complex.,257,Urban,15936883,Company_830,14727029.74,2025-10-22,270,210,27,74264090.25,41,0.71,0,-7.59,5.06,84.22,1,Cost-effective and timely
21,Project_21,Industrial Complex,Description of Project_21 in Industrial Complex.,257,Urban,15936883,Company_852,13118804.35,2025-06-02,279,631,13,78451467.2,42,0.82,0,-17.68,8.56,79.98,1,Cost-effective and timely
21,Project_21,Industrial Complex,Description of Project_21 in Industrial Complex.,257,Urban,15936883,Company_270,13592088.47,2025-07-23,327,320,23,178407175.56,49,1.0,0,-14.71,27.24,97.73,1,Cost-effective and timely
21,Project_21,Industrial Complex,Description of Project_21 in Industrial Complex.,257,Urban,15936883,Company_876,18045512.19,2025-06-02,286,981,46,299288098.71,29,0.78,0,13.23,11.28,94.07,1,Cost-effective and timely
21,Project_21,Industrial Complex,Description of Project_21 in Industrial Complex.,257,Urban,15936883,Company_433,19099042.03,2025-12-20,282,746,31,63104985.61,28,0.68,0,19.84,9.73,78.47,1,Cost-effective and timely
22,Project_22,Residential Building,Description of Project_22 in Residential Building.,449,Suburban,9933597,Company_195,10423875.44,2025-07-10,457,843,35,417310494.66,8,0.51,0,4.94,1.78,71.87,1,Cost-effective and timely
22,Project_22,Residential Building,Description of Project_22 in Residential Building.,449,Suburban,9933597,Company_852,9762759.3,2025-12-23,403,207,6,331483377.73,29,0.79,0,-1.72,-10.24,73.0,1,Cost-effective and timely
22,Project_22,Residential Building,Description of Project_22 in Residential Building.,449,Suburban,9933597,Company_155,9848802.34,2025-06-09,528,593,23,361488628.59,38,0.93,1,-0.85,17.59,93.21,1,Cost-effective and timely
22,Project_22,Residential Building,Description of Project_22 in Residential Building.,449,Suburban,9933597,Company_860,11058811.25,2025-11-17,431,428,40,222782597.66,14,0.66,0,11.33,-4.01,81.43,1,Cost-effective and timely
22,Project_22,Residential Building,Description of Project_22 in Residential Building.,449,Suburban,9933597,Company_645,8578883.96,2025-11-02,427,869,14,329261724.74,6,0.86,1,-13.64,-4.9,71.65,1,Cost-effective and timely
23,Project_23,Bridge Construction,Description of Project_23 in Bridge Construction.,197,Rural,12953507,Company_130,13514292.11,2025-09-05,296,63,19,359724549.19,19,0.6,0,4.33,50.25,64.07,0,High deviation in cost or deadlines
23,Project_23,Bridge Construction,Description of Project_23 in Bridge Construction.,197,Rural,12953507,Company_685,14916618.6,2025-12-12,287,887,37,172901106.29,3,0.96,1,15.16,45.69,84.15,1,Cost-effective and timely
23,Project_23,Bridge Construction,Description of Project_23 in Bridge Construction.,197,Rural,12953507,Company_607,13305432.61,2025-05-23,187,965,26,313772618.44,27,0.81,0,2.72,-5.08,85.7,1,Cost-effective and timely
23,Project_23,Bridge Construction,Description of Project_23 in Bridge Construction.,197,Rural,12953507,Company_97,14104495.29,2025-02-20,224,831,46,479597301.02,4,0.63,0,8.89,13.71,80.66,1,Cost-effective and timely
23,Project_23,Bridge Construction,Description of Project_23 in Bridge Construction.,197,Rural,12953507,Company_496,10368772.75,2025-07-19,289,894,10,247336008.88,29,0.85,0,-19.95,46.7,71.2,1,Cost-effective and timely
24,Project_24,Bridge Construction,Description of Project_24 in Bridge Construction.,399,Rural,6244827,Company_128,6430246.52,2025-05-07,496,789,10,321193202.93,15,0.97,1,2.97,24.31,77.59,1,Cost-effective and timely
24,Project_24,Bridge Construction,Description of Project_24 in Bridge Construction.,399,Rural,6244827,Company_781,5010207.71,2025-09-26,366,78,25,493057036.15,50,0.51,0,-19.77,-8.27,70.82,1,Cost-effective and timely
24,Project_24,Bridge Construction,Description of Project_24 in Bridge Construction.,399,Rural,6244827,Company_618,5226120.44,2025-01-11,353,669,16,23615421.79,21,0.84,0,-16.31,-11.53,75.84,1,Cost-effective and timely
24,Project_24,Bridge Construction,Description of Project_24 in Bridge Construction.,399,Rural,6244827,Company_370,5958064.05,2025-12-06,373,880,24,2248885.39,8,0.72,0,-4.59,-6.52,73.93,1,Cost-effective and timely
24,Project_24,Bridge Construction,Description of Project_24 in Bridge Construction.,399,Rural,6244827,Company_885,5352886.98,2025-11-17,387,788,14,215388791.09,36,0.96,0,-14.28,-3.01,87.47,1,Cost-effective and timely
25,Project_25,Industrial Complex,Description of Project_25 in Industrial Complex.,583,Suburban,10098640,Company_961,11933203.43,2025-12-22,603,328,44,496846704.96,6,0.96,1,18.17,3.43,93.13,1,Cost-effective and timely
25,Project_25,Industrial Complex,Description of Project_25 in Industrial Complex.,583,Suburban,10098640,Company_809,8889876.85,2025-03-11,665,377,30,78279051.46,12,0.51,0,-11.97,14.07,67.05,0,High deviation in cost or deadlines
25,Project_25,Industrial Complex,Description of Project_25 in Industrial Complex.,583,Suburban,10098640,Company_208,10574406.3,2025-12-21,652,145,12,393561766.12,42,0.89,1,4.71,11.84,85.63,1,Cost-effective and timely
25,Project_25,Industrial Complex,Description of Project_25 in Industrial Complex.,583,Suburban,10098640,Company_226,10136867.26,2025-02-10,589,648,7,205342963.99,10,0.63,0,0.38,1.03,61.74,0,High deviation in cost or deadlines
25,Project_25,Industrial Complex,Description of Project_25 in Industrial Complex.,583,Suburban,10098640,Company_830,9798774.23,2025-12-04,673,393,42,343788357.99,17,0.6,0,-2.97,15.44,81.14,1,Cost-effective and timely
26,Project_26,Industrial Complex,Description of Project_26 in Industrial Complex.,201,Suburban,18356853,Company_168,16090641.11,2025-08-06,243,55,19,430943558.94,19,0.95,0,-12.35,20.9,82.06,1,Cost-effective and timely
26,Project_26,Industrial Complex,Description of Project_26 in Industrial Complex.,201,Suburban,18356853,Company_737,15357782.75,2025-05-16,217,912,16,101985002.76,23,0.5,0,-16.34,7.96,60.14,0,High deviation in cost or deadlines
26,Project_26,Industrial Complex,Description of Project_26 in Industrial Complex.,201,Suburban,18356853,Company_61,17688263.91,2025-03-09,206,169,36,359253541.36,34,0.79,1,-3.64,2.49,92.97,1,Cost-effective and timely
26,Project_26,Industrial Complex,Description of Project_26 in Industrial Complex.,201,Suburban,18356853,Company_748,18161457.32,2025-09-08,172,545,18,396923008.06,35,0.92,0,-1.06,-14.43,88.83,1,Cost-effective and timely
26,Project_26,Industrial Complex,Description of Project_26 in Industrial Complex.,201,Suburban,18356853,Company_686,21092082.82,2025-04-16,151,446,16,12082483.84,23,0.87,0,14.9,-24.88,76.94,1,Cost-effective and timely
